sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2016 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"MPI rank:0"

"ID","Function Call Sites and Loops","","Vector Issues","Self Time","Elapsed Time","Total Time","Type","FLOPS And AVX-512 Mask Usage","GFLOPS","AI","Mask Utilization","L1 GB/s","GFLOP","FLOP Per Iteration","L1 GB","L1 Bytes Per Iteration","Why No Vectorization?","Vectorized Loops","Vector ISA","Efficiency","Gain Estimate","VL (Vector Length)","Compiler Estimated Gain","Trip Counts","Trip Counts Average","Trip Counts Min","Trip Counts Max","Trip Counts Call Count","Trip Counts Iteration Duration","Instruction Set Analysis","Traits","Data Types","Number of Vector Registers","Vector Widths","Instruction Sets","Advanced","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Location","Source Location","Module"
"","[loop in fts_read]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","40","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","2","","","","","0","","","","","","","","","","","rm"
"","[loop in __I_MPI__intel_fast_memset]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","758","","","","","","","","1","1","1","1","92","","","","","0","","","","","","","","","","","libmpifort.so.12"
"","[loop in __I_MPI__intel_fast_memcmp]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","32","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","3","","","","","0","","","","","","","","","","","libmpifort.so.12"
"","[loop in __I_MPI___intel_sse2_strcat]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","2.66667","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","4","","","","","0","","","","","","","","","","","libmpifort.so.12"
"","[loop in __I_MPI___intel_sse2_strcat]","-1","","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","< 0.0001","16","","SSE2","SSE2","","","4; 16","","1","1","1","1","1","","","","Int32; Int8","2","128","SSE2","","","","","","","","","libmpifort.so.12"
"","[loop in __I_MPI___intel_sse2_strcpy]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","14","cannot compute loop iteration count before executing the loop ","","","","","","","3","3","3","3","11","","","","","0","","","","","","","","","","","libmpifort.so.12"
"","[loop in __I_MPI___intel_sse2_strcpy]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","","","","","","","","","","0","","","","","","","","","","","libmpifort.so.12"
"","[loop in __I_MPI___intel_sse2_strcpy]","-1","","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","< 0.0001","64","","SSE2","SSE2","","","4; 16","","2","2","2","4","7","","","","Int32; Int8","2","128","SSE2","","","","","","","","","libmpifort.so.12"
"","[loop in __I_MPI___intel_sse2_strdup]","-1","","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","< 0.0001","18.6929","","SSE2","SSE2","","","4; 16","","3","3","3","77","137","","","","Int32; Int8","2","128","SSE2","","","","","","","","","libmpifort.so.12"
"","[loop in __I_MPI___intel_sse2_strlen]","-1","","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","< 0.0001","16","","SSE2","SSE2","","","4; 16","","1","1","1","8","231","","","","Int32; Int8","2","128","SSE2","","","","","","","","","libmpifort.so.12"
"","[loop in __I_MPI___intel_sse2_strncmp]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","1","1","1","1","3","","","","","3","","","","","","","","","","","libmpifort.so.12"
"","[loop in __I_MPI___intel_sse2_strncpy]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","10.8571","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","4","5","","","","","0","","","","","","","","","","","libmpifort.so.12"
"","[loop in __I_MPI___intel_sse2_strncpy]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","","","","","","","","","","0","","","","","","","","","","","libmpifort.so.12"
"","[loop in __I_MPI___intel_sse2_strncpy]","-1","","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","< 0.0001","11.2","","SSE2","SSE2","","","4; 16","","1","1","1","1","11","","","","Int32; Int8","2","128","SSE2","","","","","","","","","libmpifort.so.12"
"","[loop in __I_MPI___intel_sse2_strncpy]","-1","","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","< 0.0001","32","","SSE2","SSE2","","","4; 16","","1","1","1","1","1","","","","Int32; Int8","2","128","SSE2","","","","","","","","","libmpifort.so.12"
"","[loop in __I_MPI___intel_sse2_strncpy]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","3","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","2","3","","","","","0","","","","","","","","","","","libmpifort.so.12"
"","[loop in pmpi_cart_create_ at cart_createf.c:272]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","12","","","","","","","","3","3","3","3","1","","","","","0","","","","","","","","","cart_createf.c:272","cart_createf.c:272","libmpifort.so.12"
"","[loop in func@0x85659]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","19.6667","","","","","","","","3","3","3","3","1","","","","","0","","","","","","","","","","","libmpifort.so.12"
"","[loop in __I_MPI___intel_sse2_strncmp]","-1","","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","< 0.0001","128","","SSE2","SSE2","","","4; 16","","1","1","1","1","3","","","","Int32; Int8","3","128","SSE2","","","","","","","","","libmpifort.so.12"
"","[loop in __kmp_parallel_initialize at kmp_runtime.c:6911]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","cannot compute loop iteration count before executing the loop ","","","","","","","0","0","0","0","1","","Divisions","Divisions","Float32","1","128","SSE","","","","","","","kmp_runtime.c:6911","kmp_runtime.c:6911","libiomp5.so"
"","[loop in __kmp_affinity_create_apicid_map at kmp_affinity.cpp:1027]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","0.0002","20.0625","cannot compute loop iteration count before executing the loop ","","","","","","","8192","8192","8192","8192","1","","","","","0","","","","","","","","","kmp_affinity.cpp:1027","kmp_affinity.cpp:1027","libiomp5.so"
"","[loop in __kmp_affinity_bind_thread at z_Linux_util.c:254]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","26","","","","","","","","1","1","1","1","256","","","","","1","","","","","","","","","z_Linux_util.c:254","z_Linux_util.c:254","libiomp5.so"
"","[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:1924]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","0.0003","42.7155","cannot compute loop iteration count before executing the loop ","","","","","","","7168","7168","7168","7168","1","","","","","0","","","","","","","","","kmp_affinity.cpp:1924","kmp_affinity.cpp:1924","libiomp5.so"
"","[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2014]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","0.0007","112.025","cannot compute loop iteration count before executing the loop ","","","","","","","6657","6657","6657","6657","1","","Shuffles; Unpacks","Shuffles; Unpacks","Int32; Int64; Int8","3","128","SSE2","","","","","","","kmp_affinity.cpp:2014","kmp_affinity.cpp:2014","libiomp5.so"
"","[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:1964]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","742","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","Unpacks; Shifts","Shifts; Unpacks","Int32; Int64; UInt128; UInt64","10","128","SSE2","","","","","","","kmp_affinity.cpp:1964","kmp_affinity.cpp:1964","libiomp5.so"
"","[loop in __kmp_register_root at kmp_runtime.c:3948]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","16","","","","","","","","3","3","3","3","1","","","","","0","","","","","","","","","kmp_runtime.c:3948","kmp_runtime.c:3948","libiomp5.so"
"","[loop in __kmp_stg_init at kmp_settings.c:5051]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","8","","","","","","","","35","35","35","35","1","","","","","0","","","","","","","","","kmp_settings.c:5051","kmp_settings.c:5051","libiomp5.so"
"","[loop in __kmp_query_cpuid at kmp_utility.c:317]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","8","","","","","","","","3","3","3","3","1","","","","","0","","","","","","","","","kmp_utility.c:317","kmp_utility.c:317","libiomp5.so"
"","[loop in __kmp_remove_signals at z_Linux_util.c:1483]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","64","64","64","64","1","","","","","0","","","","","","","","","z_Linux_util.c:1483","z_Linux_util.c:1483","libiomp5.so"
"","[loop in rml::internal::OrphanedBlocks::reset at frontend.cpp:1557]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","9","","","","","","","","31","31","31","31","1","","","","","0","","","","","","","","","frontend.cpp:1557","frontend.cpp:1557","libiomp5.so"
"","[loop in rml::internal::initBackRefMaster at backref.cpp:109]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","24","","","","","","","","4","4","4","4","1","","","","","0","","","","","","","","","backref.cpp:109","backref.cpp:109","libiomp5.so"
"","[loop in __kmp_create_masks at kmp_affinity.cpp:2646]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","8","","","","","","","","128","128","128","128","1","","","","","0","","","","","","","","","kmp_affinity.cpp:2646","kmp_affinity.cpp:2646","libiomp5.so"
"","[loop in Address::isClose at kmp_affinity.h:76]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","7.34118","cannot compute loop iteration count before executing the loop ","","","","","","","3","3","3","3","255","","","","","0","","","","","","","","","kmp_affinity.h:76","kmp_affinity.h:76","libiomp5.so"
"","[loop in __kmp_create_masks at kmp_affinity.cpp:2688]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","","","","","","","","","","1","","","","","","","","","kmp_affinity.cpp:2688","kmp_affinity.cpp:2688","libiomp5.so"
"","[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2311]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","40","","","","","","","","2","2","2","2","2","","","","","0","","","","","","","","","kmp_affinity.cpp:2311","kmp_affinity.cpp:2311","libiomp5.so"
"","[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2321]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","50","cannot compute loop iteration count before executing the loop ","","","","","","","2","2","2","2","1","","","","","0","","","","","","","","","kmp_affinity.cpp:2321","kmp_affinity.cpp:2321","libiomp5.so"
"","[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2621]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","16","","","","","","","","257","257","257","257","1","","","","","0","","","","","","","","","kmp_affinity.cpp:2621","kmp_affinity.cpp:2621","libiomp5.so"
"","[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:1987]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","20","","","","","","","","257","257","257","257","1","","","","","0","","","","","","","","","kmp_affinity.cpp:1987","kmp_affinity.cpp:1987","libiomp5.so"
"","[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2008]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","4","cannot compute loop iteration count before executing the loop ","","","","","","","257","257","257","257","1","","","","","1","","","","","","","","","kmp_affinity.cpp:2008","kmp_affinity.cpp:2008","libiomp5.so"
"","[loop in mem_prim_move at mem_primitives_lib.c:442]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","16","","","","","","","","7","7","7","7","1","","","","","0","","","","","","","","","mem_primitives_lib.c:442","mem_primitives_lib.c:442","libiomp5.so"
"","[loop in __kmp_itt_init_ittlib at ittnotify_static.c:889]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","2","2","2","2","1","","","","Int8","1","128","SSE2","","","","","","","ittnotify_static.c:889","ittnotify_static.c:889","libiomp5.so"
"","[loop in __kmp_itt_init_ittlib at ittnotify_static.c:1080]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","28","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","","ittnotify_static.c:1080","ittnotify_static.c:1080","libiomp5.so"
"","[loop in __kmp_create_masks at kmp_affinity.cpp:2727]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","8","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","","kmp_affinity.cpp:2727","kmp_affinity.cpp:2727","libiomp5.so"
"","[loop in __kmp_affinity_set_init_mask at kmp_affinity.cpp:4205]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","32","","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","","kmp_affinity.cpp:4205","kmp_affinity.cpp:4205","libiomp5.so"
"","[loop in __kmp_affinity_assign_child_nums at kmp_affinity.cpp:237]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","0","0","0","0","1","","","","","0","","","","","","","","","kmp_affinity.cpp:237","kmp_affinity.cpp:237","libiomp5.so"
"","[loop in __kmp_affinity_assign_child_nums at kmp_affinity.cpp:243]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","12.5638","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","2","255","","","","","0","","","","","","","","","kmp_affinity.cpp:243","kmp_affinity.cpp:243","libiomp5.so"
"","[loop in __kmp_aux_affinity_initialize at kmp_affinity.cpp:3856]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","255","255","255","255","1","","","","","1","","","","","","","","","kmp_affinity.cpp:3856","kmp_affinity.cpp:3856","libiomp5.so"
"","[loop in __kmp_affinity_assign_child_nums at kmp_affinity.cpp:255]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","16","","","","","","","","1","1","1","1","255","","","","","0","","","","","","","","","kmp_affinity.cpp:255","kmp_affinity.cpp:255","libiomp5.so"
"","[loop in __kmp_aux_affinity_initialize at kmp_affinity.cpp:3513]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","2.75","","","","","","","","4096","4096","4096","4096","1","","","","","0","","","","","","","","","kmp_affinity.cpp:3513","kmp_affinity.cpp:3513","libiomp5.so"
"","[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2134]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","0.0007","8","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","338","338","338","338","256","","","","","0","","","","","","","","","kmp_affinity.cpp:2134","kmp_affinity.cpp:2134","libiomp5.so"
"","[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2553]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","153","cannot compute loop iteration count before executing the loop ","","","","","","","256","256","256","256","1","","","","","4","","","","","","","","","kmp_affinity.cpp:2553","kmp_affinity.cpp:2553","libiomp5.so"
"","[loop in __kmp_affinity_create_cpuinfo_map at kmp_affinity.cpp:2321]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","57.7656","","","","","","","","128","128","1","255","2","","","","","0","","","","","","","","","kmp_affinity.cpp:2321","kmp_affinity.cpp:2321","libiomp5.so"
"","[loop in __kmp_affinity_cmp_ProcCpuInfo_phys_id at kmp_affinity.cpp:1898]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","12.0157","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","3","1276","","","","","0","","","","","","","","","kmp_affinity.cpp:1898","kmp_affinity.cpp:1898","libiomp5.so"
"","[loop in __kmp_affinity_create_x2apicid_map at kmp_affinity.cpp:1373]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","","kmp_affinity.cpp:1373","kmp_affinity.cpp:1373","libiomp5.so"
"","[loop in __kmp_affinity_create_x2apicid_map at kmp_affinity.cpp:1394]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","34","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","","kmp_affinity.cpp:1394","kmp_affinity.cpp:1394","libiomp5.so"
"","[loop in __kmp_cpuid_mask_width at kmp_affinity.cpp:823]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","7","7","7","7","256","","","","","0","","","","","","","","","kmp_affinity.cpp:823","kmp_affinity.cpp:823","libiomp5.so"
"","[loop in __kmp_cpuid_mask_width at kmp_affinity.cpp:823]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","","","","","","","","5","5","5","5","256","","","","","0","","","","","","","","","kmp_affinity.cpp:823","kmp_affinity.cpp:823","libiomp5.so"
"","[loop in __kmp_affinity_cmp_Address_child_num at kmp_affinity.h:151]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","14.0952","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1600","","","","","0","","","","","","","","","kmp_affinity.h:151","kmp_affinity.h:151","libiomp5.so"
"","[loop in __kmp_affinity_cmp_Address_labels at kmp_affinity.h:131]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","13.3473","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","2","2300","","","","","0","","","","","","","","","kmp_affinity.h:131","kmp_affinity.h:131","libiomp5.so"
"","[loop in hierarchy_info::init at kmp_affinity.h:256]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","26.4","cannot compute loop iteration count before executing the loop ","","","","","","","10","10","10","10","1","","","","","0","","","","","","","","","kmp_affinity.h:256","kmp_affinity.h:256","libiomp5.so"
"","[loop in hierarchy_info::init at kmp_affinity.h:233]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","40","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","3","3","3","3","1","","","","","0","","","","","","","","","kmp_affinity.h:233","kmp_affinity.h:233","libiomp5.so"
"","[loop in __kmpc_dispatch_init_8 at kmp_dispatch.cpp:2413]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","0","0","0","0","662","","Shuffles; Unpacks","Shuffles; Unpacks","Int32; Int64; Int8","3","128","SSE2","","","","","","","kmp_dispatch.cpp:2413","kmp_dispatch.cpp:2413","libiomp5.so"
"","[loop in __kmp_env_blk_var at kmp_environment.c:610]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","211","cannot compute loop iteration count before executing the loop ","","","","","","","2","2","2","2","621","","","","","0","","","","","","","","","kmp_environment.c:610","kmp_environment.c:610","libiomp5.so"
"","[loop in __kmp_env_blk_var at kmp_environment.c:609]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","8","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","207","207","207","207","3","","","","","0","","","","","","","","","kmp_environment.c:609","kmp_environment.c:609","libiomp5.so"
"","[loop in ___kmp_env_blk_parse_unix at kmp_environment.c:486]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","24.1165","cannot compute loop iteration count before executing the loop ","","","","","","","206","206","206","206","1","","","","","0","","","","","","","","","kmp_environment.c:486","kmp_environment.c:486","libiomp5.so"
"","[loop in __kmp_cleanup_indirect_user_locks at kmp_lock.cpp:3631]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","0","0","0","0","1","","","","","0","","","","","","","","","kmp_lock.cpp:3631","kmp_lock.cpp:3631","libiomp5.so"
"","[loop in __kmp_register_root at kmp_runtime.c:3966]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","32","","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","","kmp_runtime.c:3966","kmp_runtime.c:3966","libiomp5.so"
"","[loop in __kmp_internal_end at kmp_runtime.c:6002]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","112","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","","kmp_runtime.c:6002","kmp_runtime.c:6002","libiomp5.so"
"","[loop in __kmp_unregister_library at kmp_runtime.c:6412]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","4","cannot compute loop iteration count before executing the loop ","","","","","","","18","18","18","18","1","","","","","0","","","","","","","","","kmp_runtime.c:6412","kmp_runtime.c:6412","libiomp5.so"
"","[loop in __kmp_register_library_startup at kmp_runtime.c:6322]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","56","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","","kmp_runtime.c:6322","kmp_runtime.c:6322","libiomp5.so"
"","[loop in __kmp_register_library_startup at kmp_runtime.c:6330]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","4","cannot compute loop iteration count before executing the loop ","","","","","","","18","18","18","18","1","","","","","0","","","","","","","","","kmp_runtime.c:6330","kmp_runtime.c:6330","libiomp5.so"
"","[loop in __kmp_do_serial_initialize at kmp_runtime.c:6655]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","0","0","0","0","1","","","","","0","","","","","","","","","kmp_runtime.c:6655","kmp_runtime.c:6655","libiomp5.so"
"","[loop in __kmpc_for_static_init_8 at kmp_sched.cpp:830]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","","","","","","","","","0","0","0","0","110","","Divisions; Shuffles; Unpacks","Divisions; Shuffles; Unpacks","Int32; Int64; Int8","3","128","SSE2","","","","","","","kmp_sched.cpp:830","kmp_sched.cpp:830","libiomp5.so"
"","[loop in __kmp_stg_parse_num_threads at kmp_settings.c:1013]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","","kmp_settings.c:1013","kmp_settings.c:1013","libiomp5.so"
"","[loop in __kmp_stg_parse_num_threads at kmp_settings.c:1015]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","","kmp_settings.c:1015","kmp_settings.c:1015","libiomp5.so"
"","[loop in __kmp_stg_parse_num_threads at kmp_settings.c:1139]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","8","cannot compute loop iteration count before executing the loop ","","","","","","","2","2","2","2","1","","","","","0","","","","","","","","","kmp_settings.c:1139","kmp_settings.c:1139","libiomp5.so"
"","[loop in __kmp_strcasecmp_with_sentinel at kmp_settings.c:233]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","1","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","","kmp_settings.c:233","kmp_settings.c:233","libiomp5.so"
"","[loop in __kmp_parse_nested_num_threads at kmp_settings.c:1109]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","1","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","","kmp_settings.c:1109","kmp_settings.c:1109","libiomp5.so"
"","[loop in __kmp_parse_nested_num_threads at kmp_settings.c:1036]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","1","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","1","1","","","","","0","","","","","","","","","kmp_settings.c:1036","kmp_settings.c:1036","libiomp5.so"
"","[loop in __kmp_strcasecmp_with_sentinel at kmp_settings.c:233]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","2","cannot compute loop iteration count before executing the loop ","","","","","","","7","7","7","7","1","","","","","0","","","","","","","","","kmp_settings.c:233","kmp_settings.c:233","libiomp5.so"
"","[loop in __kmp_stg_cmp at kmp_settings.c:4862]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","8","cannot compute loop iteration count before executing the loop ","","","","","","","2","2","2","2","4","","","","","0","","","","","","","","","kmp_settings.c:4862","kmp_settings.c:4862","libiomp5.so"
"","[loop in __kmp_stg_cmp at kmp_settings.c:4870]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","4.81458","cannot compute loop iteration count before executing the loop ","","","","","","","2","2","2","11","307","","","","","0","","","","","","","","","kmp_settings.c:4870","kmp_settings.c:4870","libiomp5.so"
"","[loop in __kmp_stg_cmp at kmp_settings.c:4861]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","5.02564","cannot compute loop iteration count before executing the loop ","","","","","","","3","3","3","7","316","","","","","0","","","","","","","","","kmp_settings.c:4861","kmp_settings.c:4861","libiomp5.so"
"","[loop in __kmp_stg_cmp at kmp_settings.c:4867]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","4.97012","cannot compute loop iteration count before executing the loop ","","","","","","","2","2","2","7","312","","","","","0","","","","","","","","","kmp_settings.c:4867","kmp_settings.c:4867","libiomp5.so"
"","[loop in __kmp_stg_find at kmp_settings.c:4842]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","156.847","cannot compute loop iteration count before executing the loop ","","","","","","","1","1","1","8","14477","","","","","0","","","","","","","","","kmp_settings.c:4842","kmp_settings.c:4842","libiomp5.so"
"","[loop in __kmp_env_initialize at kmp_settings.c:5225]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","< 0.0001","17.0386","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","207","207","207","207","1","","","","","0","","","","","","","","","kmp_settings.c:5225","kmp_settings.c:5225","libiomp5.so"
"","[loop in __kmp_stg_find at kmp_settings.c:4841]","-1","","n/a","n/a","n/a","Scalar [Not Executed]","","","","","","","","0.0001","8.00111","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","61","61","61","70","207","","","","","0","","","","","","","","","kmp_settings.c:4841","kmp_settings.c:4841","libiomp5.so"
