sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2016 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"MPI rank:0"

"ID","Function Call Sites and Loops","","Vector Issues","Self Time","Elapsed Time","Total Time","Type","FLOPS And AVX-512 Mask Usage","GFLOPS","AI","Mask Utilization","L1 GB/s","GFLOP","FLOP Per Iteration","L1 GB","L1 Bytes Per Iteration","Why No Vectorization?","Vectorized Loops","Vector ISA","Efficiency","Gain Estimate","VL (Vector Length)","Compiler Estimated Gain","Trip Counts","Trip Counts Median","Trip Counts Min","Trip Counts Max","Trip Counts Call Count","Trip Counts Iteration Duration","Instruction Set Analysis","Traits","Data Types","Number of Vector Registers","Vector Widths","Instruction Sets","Advanced","Transformations","Unroll Factor","Vectorization Details","Optimization Details","Location","Source Location","Module"
"","[child]-[loop in field_vec at field_vec.F90:31]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","8","1.06x","","","","","","","Gathers; Mask Manipulations","Gathers; Mask Manipulations","Float32; <b>Float64</b>; Int64; UInt64","6","512","AVX512F_512","","Fused","","Masked Loop Vectorization","LOOP WAS FUSED; LOOP WAS DISTRIBUTED, CHUNK 1","field_vec.F90:31","field_vec.F90:31","xgc2"
"29","[loop in for_read_seq_lis_xmit]","1","","0.0780s","0.0780s","0.3060s","Scalar","","","","","0.5923","","","0.0462","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","Divisions","Divisions","Int32","0","128","SSE2","","","","","","","","xgc2"
"410","[loop in i_interpol_vec at interpolation.F90:174]","1","","0.0762s","0s","0.0762s","Vectorized (Body; [Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","110.977","8.88x","8; [8]","8.21x","16","16","15","16","225024","< 0.0001s","","","<b>Float64</b>; [Float64; Int64; UInt64]","5; [8]","512; [512]","AVX512F_512; [AVX512F_512]","Fused; Unrolled by 2","Fused; Unrolled; [Fused]","2","[Masked Loop Vectorization]","LOOP WAS FUSED; LOOP WAS UNROLLED BY 2; [LOOP WAS FUSED]","interpolation.F90:174","interpolation.F90:174","xgc2"
"231","[child]-[loop in i_interpol_vec at interpolation.F90:174]","1","","0.0762s","0.0200s","0.0762s","Vectorized (Body)","115187712","5.75736","0.0625","100","92.1177","0.1152","32","1.8430","512","","AVX512","AVX512","","","8","8.21x","16","16","15","16","225024","< 0.0001s","","","<b>Float64</b>","5","512","AVX512F_512","Unrolled by 2; Fused","Unrolled; Fused","2","","LOOP WAS FUSED; LOOP WAS UNROLLED BY 2","interpolation.F90:174","interpolation.F90:174","xgc2"
"","[child]-[loop in i_interpol_vec at interpolation.F90:174]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","12288","","0.0625","100","","< 0.0001","16","0.0002","256","","AVX512","AVX512","","","8","3.43x","1","1","1","1","768","","","","<b>Float64</b>; Int64; UInt64","8","512","AVX512F_512","","Fused","","Masked Loop Vectorization","LOOP WAS FUSED","interpolation.F90:174","interpolation.F90:174","xgc2"
"270","[loop in efield_elec_vec at efield_elec_vec.F90:23]","1","1 Opportunity for outer loop vectorization ","0.0761s","0.0241s","0.0761s","Scalar","","","","","15.5352","","","0.3744","52","inner loop was already vectorized","","","","","","","256","256","248","256","28128","< 0.0001s","","","Float64","1","512","AVX512F_512","","","","","","efield_elec_vec.F90:23","efield_elec_vec.F90:23","xgc2"
"76","[loop in dshelldec at dshelldec.F90:27]","1","","0.0760s","0.0760s","0.0760s","Scalar","","","","","3.0175","","","0.2293","42.1631","loop with multiple exits cannot be vectorized unless it meets search loop idiom criteria","","","","","","","1","1","0","75","2425398","< 0.0001s","Mask Manipulations","Mask Manipulations","Float64","1","","","","","","","","dshelldec.F90:27","dshelldec.F90:27","xgc2"
"210","[loop in derivs_elec_vec at derivs_elec_vec.F90:80]","1","1 Potential underutilization of FMA instructions ","0.0721s","0.0121s","0.0721s","Inside vectorized","216000000","17.8813","0.2500","100","71.5251","0.2160","16","0.8640","64","loop was vectorized along with the outer loop","","","","","","","3","3","3","3","4500000","< 0.0001s","Gathers; FMA; Mask Manipulations","FMA; Gathers; Mask Manipulations","Float64","2","512","AVX512F_512","","","","","","derivs_elec_vec.F90:80","derivs_elec_vec.F90:80","xgc2"
"177","[loop in eval_bicub_1_vec at bicub_mod.F90:733]","1","","0.0720s","0.0240s","1.6312s","Scalar","","","","","6.0269","","","0.1444","160.437","cannot compute loop iteration count before executing the loop ","","","","","","","4","4","4","4","225024","< 0.0001s","Mask Manipulations","Mask Manipulations","Float64; Int32; UInt32","11","256/512","AVX; AVX2; AVX512F_512","","","","","","bicub_mod.F90:733","bicub_mod.F90:733","xgc2"
"481","[loop in derivs_elec_vec at derivs_elec_vec.F90:111]","1","","0.0719s","0s","0.0719s","Vectorized (Body; [Peeled; Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","81.3386","6.51x","8; [8]","6.16x","16","16","15","16","140640","< 0.0001s","Divisions; FMA; Mask Manipulations; Reciprocal CPs(AVX-512ER); [Divisions; FMA; Mask Manipulations; Reciprocal CPs(AVX-512ER)]","Appr. Reciprocals(AVX-512ER); Divisions; FMA; Mask Manipulations;  [Divisions; FMA; Mask Manipulations; Reciprocal CPs(AVX-512ER)]","Float32; <b>Float64</b>; [Float32; Float64; Int64; UInt64]","6; [9]","512; [512]","AVX512ER_512; AVX512F_512; [AVX512ER_512; AVX512F_512]","Unrolled by 2","Unrolled","2","Unaligned Access in Vector Loop; [Masked Loop Vectorization; Unaligned Access in Vector Loop]","LOOP WAS UNROLLED BY 2","derivs_elec_vec.F90:111","derivs_elec_vec.F90:111","xgc2"
"225","[child]-[loop in derivs_elec_vec at derivs_elec_vec.F90:111]","1","","0.0719s","0.0200s","0.0719s","Vectorized (Body)","251973120","12.6033","0.2917","100","43.2112","0.2520","112","0.8639","384","","AVX512","AVX512","","","8","6.16x","16","16","15","16","140640","< 0.0001s","Divisions; FMA; Mask Manipulations; Reciprocal CPs(AVX-512ER)","Appr. Reciprocals(AVX-512ER); Divisions; FMA; Mask Manipulations","Float32; <b>Float64</b>","6","512","AVX512ER_512; AVX512F_512","Unrolled by 2","Unrolled","2","Unaligned Access in Vector Loop","LOOP WAS UNROLLED BY 2","derivs_elec_vec.F90:111","derivs_elec_vec.F90:111","xgc2"
"","[child]-[loop in derivs_elec_vec at derivs_elec_vec.F90:111]","-1","","n/a","n/a","n/a","Vectorized (Peeled) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","8","3.73x","","","","","","","Divisions; FMA; Mask Manipulations; Reciprocal CPs(AVX-512ER)","Appr. Reciprocals(AVX-512ER); Divisions; FMA; Mask Manipulations","Float32; <b>Float64</b>; Int64; UInt64","9","512","AVX512ER_512; AVX512F_512","","","","Masked Loop Vectorization; Unaligned Access in Vector Loop","","derivs_elec_vec.F90:111","derivs_elec_vec.F90:111","xgc2"
"","[child]-[loop in derivs_elec_vec at derivs_elec_vec.F90:111]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","26880","","0.2917","100","","< 0.0001","56","< 0.0001","192","","AVX512","AVX512","","","8","5.07x","1","1","1","1","480","","Divisions; FMA; Mask Manipulations; Reciprocal CPs(AVX-512ER)","Appr. Reciprocals(AVX-512ER); Divisions; FMA; Mask Manipulations","Float32; <b>Float64</b>; Int64; UInt64","9","512","AVX512ER_512; AVX512F_512","","","","Masked Loop Vectorization; Unaligned Access in Vector Loop","","derivs_elec_vec.F90:111","derivs_elec_vec.F90:111","xgc2"
"257","[loop in derivs_elec_vec at derivs_elec_vec.F90:341]","1","","0.0640s","0.0200s","0.0640s","Inside vectorized","","","","","28.7291","","","0.5759","128","vectorization possible but seems inefficient. Use vector always directive or -vec-threshold0 to override ","","","","","","","2","2","2","2","2249760","< 0.0001s","Scatters; Mask Manipulations","Mask Manipulations; Scatters","Float64","1","512","AVX512F_512","","","","","","derivs_elec_vec.F90:341","derivs_elec_vec.F90:341","xgc2"
"189","[loop in pushe_1step2_vec_$omp$parallel_for@55 at pushe_1step2_vec.F90:120]","1","","0.0600s","0.0241s","0.0600s","Scalar","","","","","47.7359","","","1.1520","160","inner loop was already vectorized","","","","","","","256","256","248","256","28128","< 0.0001s","Mask Manipulations","Mask Manipulations","Float64","2","512","AVX512F_512","","","","","","pushe_1step2_vec.F90:120","pushe_1step2_vec.F90:120","xgc2"
"424","[loop in eval_bicub_1_vec at bicub_mod.F90:678]","1","","0.0560s","0s","0.0560s","Vectorized (Body; [Peeled; Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","51.2943","8.21x","16; [8]","6.54x","16","16","15","16","225024","< 0.0001s","","","Float32; <b>Float64</b>; [Float64; Int64; UInt64]","8; [9]","512; [512]","AVX512F_512; [AVX512F_512]","","Fused; [Fused]","","Unaligned Access in Vector Loop; [Masked Loop Vectorization; Unaligned Access in Vector Loop]","LOOP WAS FUSED; [LOOP WAS FUSED]","bicub_mod.F90:678","bicub_mod.F90:678","xgc2"
"276","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:678]","1","","0.0560s","0.0160s","0.0560s","Vectorized (Body)","115187712","7.18004","0.0417","100","172.3210","0.1152","32","2.7645","768","","AVX512","AVX512","","","16","6.54x","16","16","15","16","225024","< 0.0001s","","","Float32; <b>Float64</b>","8","512","AVX512F_512","","Fused","","Unaligned Access in Vector Loop","LOOP WAS FUSED","bicub_mod.F90:678","bicub_mod.F90:678","xgc2"
"","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:678]","-1","","n/a","n/a","n/a","Vectorized (Peeled) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","8","1.71x","","","","","","","","","<b>Float64</b>; Int64; UInt64","9","512","AVX512F_512","","Fused","","Masked Loop Vectorization; Unaligned Access in Vector Loop","LOOP WAS FUSED","bicub_mod.F90:678","bicub_mod.F90:678","xgc2"
"","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:678]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","12288","","0.0417","100","","< 0.0001","16","0.0003","384","","AVX512","AVX512","","","8","3.23x","1","1","1","1","768","","","","<b>Float64</b>; Int64; UInt64","9","512","AVX512F_512","","Fused","","Masked Loop Vectorization; Unaligned Access in Vector Loop","LOOP WAS FUSED","bicub_mod.F90:678","bicub_mod.F90:678","xgc2"
"148","[loop in derivs_single_elec_vec at derivs_single_elec_vec.F90:75]","1","1 Assumed dependency present ","0.0560s","0.0240s","1.3641s","Scalar","","","","","17.9837","","","0.4320","60.1991","vector dependence prevents vectorization","","","","","","","256","256","256","256","28032","< 0.0001s","","","","0","","","","","","","","derivs_single_elec_vec.F90:75","derivs_single_elec_vec.F90:75","xgc2"
"237","[loop in eval_bicub_2_vec at bicub_mod.F90:401]","1","1 Opportunity for outer loop vectorization ","0.0558s","0.0200s","0.4597s","Scalar","","","","","0.4512","","","0.0090","4","inner loop was already vectorized","","","","","","","4","4","4","4","562560","< 0.0001s","Mask Manipulations","Mask Manipulations","Int32; UInt32","7","256","AVX; AVX2","","","","","","bicub_mod.F90:401","bicub_mod.F90:401","xgc2"
"70","[loop in init_guess_list at init_guess_list.F90:253]","1","1 Assumed dependency present ","0.0520s","0.0520s","0.0520s","Scalar","","","","","1.4151","","","0.0736","27.4511","vector dependence prevents vectorization","","","","","","","4","4","1","16","703934","< 0.0001s","Mask Manipulations","Mask Manipulations","Float64","3","","","","","","","","init_guess_list.F90:253","init_guess_list.F90:253","xgc2"
"409","[loop in i_interpol_vec at interpolation.F90:174]","1","","0.0519s","0s","0.0519s","Vectorized (Body; [Peeled; Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","48.5791","7.77x","16; [8]","6.28x","16","16","16","16","140160","< 0.0001s","","","<b>Float64</b>; [Float64; Int64; UInt64]","5; [8]","512; [512]","AVX512F_512; [AVX512F_512]","","Fused; [Fused]","","Unaligned Access in Vector Loop; [Masked Loop Vectorization; Unaligned Access in Vector Loop]","LOOP WAS FUSED; [LOOP WAS FUSED]","interpolation.F90:174","interpolation.F90:174","xgc2"
"274","[child]-[loop in i_interpol_vec at interpolation.F90:174]","1","","0.0519s","0.0120s","0.0519s","Vectorized (Body)","71992320","6.00542","0.0625","100","96.0867","0.0720","32.1027","1.1519","513.644","","AVX512","AVX512","","","16","6.28x","16","16","16","16","140160","< 0.0001s","","","<b>Float64</b>","5","512","AVX512F_512","","Fused","","Unaligned Access in Vector Loop","LOOP WAS FUSED","interpolation.F90:174","interpolation.F90:174","xgc2"
"","[child]-[loop in i_interpol_vec at interpolation.F90:174]","-1","","n/a","n/a","n/a","Vectorized (Peeled) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","8","1.81x","","","","","","","","","<b>Float64</b>; Int64; UInt64","8","512","AVX512F_512","","Fused","","Masked Loop Vectorization; Unaligned Access in Vector Loop","LOOP WAS FUSED","interpolation.F90:174","interpolation.F90:174","xgc2"
"","[child]-[loop in i_interpol_vec at interpolation.F90:174]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","7680","","0.0625","100","","< 0.0001","16","0.0001","256","","AVX512","AVX512","","","8","3.42x","1","1","1","1","480","","","","<b>Float64</b>; Int64; UInt64","8","512","AVX512F_512","","Fused","","Masked Loop Vectorization; Unaligned Access in Vector Loop","LOOP WAS FUSED","interpolation.F90:174","interpolation.F90:174","xgc2"
"802","[loop in cvtas_a_to_t]","1","","0.0480s","0.0480s","0.0480s","Scalar","","","","","0.3351","","","0.0161","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","xgc2"
"50","[loop in init_triangle at search.F90:200]","1","1 Assumed dependency present ","0.0480s","0.0480s","0.0880s","Scalar","","","","","4.2353","","","0.2032","112","vector dependence prevents vectorization","","","","","","","12","12","7","18","151587","< 0.0001s","","","","0","","","","","","","","search.F90:200","search.F90:200","xgc2"
"248","[loop in search_tr_check_guess_vec at search.F90:944]","1","","0.0441s","0.0120s","0.0441s","Inside vectorized","","","","","57.3578","","","0.6911","128","vectorization possible but seems inefficient. Use vector always directive or -vec-threshold0 to override ","","","","","","","3","3","3","3","1799808","< 0.0001s","Gathers; Mask Manipulations","Gathers; Mask Manipulations","Float64","6","512","AVX512F_512","","Fused","","","LOOP WAS FUSED","search.F90:944","search.F90:944","xgc2"
"1","[loop in operator new]","1","","0.0441s","0.0441s","0.0441s","Scalar","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","libpin3dwarf.so"
"35","[loop in cvt_text_to_integer]","1","","0.0440s","0.0440s","0.0440s","Scalar","","","","","0.7293","","","0.0321","4.5","cannot compute loop iteration count before executing the loop ","","","","","","","2","2","1","2","4326130","< 0.0001s","","","","0","","","","","","","","","","xgc2"
"464","[loop in pushe_single_vec at pushe_single_vec.F90:81]","1","1 Possible inefficient memory access patterns present ","0.0440s","0s","0.0440s","Vectorized (Body; [Peeled; Remainder])","","","","","","","","","","1 vectorization possible but seems inefficient. Use vector always directive or -vec-threshold0 to override ","AVX512; [AVX512]","AVX512; [AVX512]","23.3332","1.87x","8; [8]","1.85x","32","32","31","32","168768","< 0.0001s","Gathers; Mask Manipulations; [Gathers; Mask Manipulations]","Gathers; Mask Manipulations;  [Gathers; Mask Manipulations]","<b>Float64</b>; [Float32; Float64; Int32]","1; [0; 5]","512; [256/512]","AVX512F_512; [AVX2; AVX512F_512]","","Interchanged; [Interchanged]","","Unaligned Access in Vector Loop; [Masked Loop Vectorization; Unaligned Access in Vector Loop]","LOOP WAS INTERCHANGED; [LOOP WAS INTERCHANGED]","pushe_single_vec.F90:81","pushe_single_vec.F90:81","xgc2"
"232","[child]-[loop in pushe_single_vec at pushe_single_vec.F90:81]","1","1 Possible inefficient memory access patterns present ","0.0440s","0.0120s","0.0440s","Vectorized (Body)","","","","","57.4379","","","0.6912","128","","AVX512","AVX512","","","8","1.85x","32","32","31","32","168768","< 0.0001s","Gathers; Mask Manipulations","Gathers; Mask Manipulations","<b>Float64</b>","1","512","AVX512F_512","","Interchanged","","Unaligned Access in Vector Loop","LOOP WAS INTERCHANGED","pushe_single_vec.F90:81","pushe_single_vec.F90:81","xgc2"
"","[child]-[loop in pushe_single_vec at pushe_single_vec.F90:81]","-1","","n/a","n/a","n/a","Peeled [Not Executed]","","","","","","","","","","vectorization possible but seems inefficient. Use vector always directive or -vec-threshold0 to override ","","","","","","","","","","","","","","","","0","","","","Interchanged","","","LOOP WAS INTERCHANGED","pushe_single_vec.F90:81","pushe_single_vec.F90:81","xgc2"
"","[child]-[loop in pushe_single_vec at pushe_single_vec.F90:81]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","8","1.15x","","","","","","","Gathers; Mask Manipulations","Gathers; Mask Manipulations","Float32; <b>Float64</b>; Int32","5","256/512","AVX2; AVX512F_512","","Interchanged","","Masked Loop Vectorization; Unaligned Access in Vector Loop","LOOP WAS INTERCHANGED","pushe_single_vec.F90:81","pushe_single_vec.F90:81","xgc2"
"46","[loop in init_triangle at search.F90:181]","1","1 Assumed dependency present ","0.0440s","0.0440s","0.0440s","Scalar","","","","","0.6367","","","0.0280","20.6616","vector dependence prevents vectorization","","","","","","","3","3","1","4","454761","< 0.0001s","","","","0","","","Unrolled by 2","Unrolled","2","","LOOP WAS UNROLLED BY 2","search.F90:181","search.F90:181","xgc2"
"3","[loop in SPINLOCK_Lock]","1","","0.0420s","0.0420s","0.0420s","Scalar","","","","","","","","","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","","","","0","","","","","","","","","","libc-dynamic.so"
"156","[loop in efield_gk_elec2_vec at efield_gk_elec2_vec.F90:50]","1","","0.0401s","0.0121s","3.0330s","Scalar","","","","","8.3945","","","0.1014","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","Shifts","Shifts","Float32; UInt32; UInt64","16","512","AVX512F_512","","","","","","efield_gk_elec2_vec.F90:50","efield_gk_elec2_vec.F90:50","xgc2"
"417","[loop in eval_bicub_2_vec at bicub_mod.F90:398]","1","","0.0400s","0s","1.2077s","Scalar Versions","","","","","","","","","","1 inner loop was already vectorized","","","","","","","4; 4; 4","4; 4; 4","4; 4; 4","4; 4; 4","140640; 140640; 140640","< 0.0001s","","","","11; 7; 8","","","","","","","LOOP WAS DISTRIBUTED, CHUNK 1; LOOP WAS DISTRIBUTED, CHUNK 2; LOOP WAS DISTRIBUTED, CHUNK 3","bicub_mod.F90:398","bicub_mod.F90:398","xgc2"
"213","[child]-[loop in eval_bicub_2_vec at bicub_mod.F90:398]","1","","0.0240s","0.0120s","0.4039s","Scalar","","","","","0.6552","","","0.0079","14","inner loop was already vectorized","","","","","","","4","4","4","4","140640","< 0.0001s","","","","8","","","","","","","LOOP WAS DISTRIBUTED, CHUNK 2","bicub_mod.F90:398","bicub_mod.F90:398","xgc2"
"238","[child]-[loop in eval_bicub_2_vec at bicub_mod.F90:398]","1","","0.0160s","0.0080s","0.4757s","Scalar","","","","","0.9832","","","0.0079","14","inner loop was already vectorized","","","","","","","4","4","4","4","140640","< 0.0001s","","","","7","","","","","","","LOOP WAS DISTRIBUTED, CHUNK 1","bicub_mod.F90:398","bicub_mod.F90:398","xgc2"
"183","[child]-[loop in eval_bicub_2_vec at bicub_mod.F90:398]","1","","0s","0s","0.3281s","Scalar","","","","","","","","0.0079","14","inner loop was already vectorized","","","","","","","4","4","4","4","140640","< 0.0001s","","","","11","","","","","","","LOOP WAS DISTRIBUTED, CHUNK 3","bicub_mod.F90:398","bicub_mod.F90:398","xgc2"
"49","[loop in init_triangle at search.F90:207]","1","1 Assumed dependency present ","0.0400s","0.0400s","0.0400s","Scalar","","","","","1.6797","","","0.0672","12.339","vector dependence prevents vectorization","","","","","","","3","3","3","3","1814678","< 0.0001s","","","","0","","","","","","","","search.F90:207","search.F90:207","xgc2"
"441","[loop in field_following_pos2_vec at charge.F90:731]","1","","0.0400s","0s","0.0400s","Vectorized (Body; [Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","59.9853","9.60x","16; [8]","7.32x","16","16","15","16","112512","< 0.0001s","","","Float32; <b>Float64</b>; [Float64; Int64; UInt64]","4; [6]","512; [512]","AVX512F_512; [AVX512F_512]","","","","Unaligned Access in Vector Loop; [Masked Loop Vectorization; Unaligned Access in Vector Loop]","","charge.F90:731","charge.F90:731","xgc2"
"261","[child]-[loop in field_following_pos2_vec at charge.F90:731]","1","","0.0400s","0.0120s","0.0400s","Vectorized (Body)","28796928","2.3986","0.0417","100","57.5663","0.0288","16","0.6911","384","","AVX512","AVX512","","","16","7.32x","16","16","15","16","112512","< 0.0001s","","","Float32; <b>Float64</b>","4","512","AVX512F_512","","","","Unaligned Access in Vector Loop","","charge.F90:731","charge.F90:731","xgc2"
"","[child]-[loop in field_following_pos2_vec at charge.F90:731]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","3072","","0.0417","100","","< 0.0001","8","< 0.0001","192","","AVX512","AVX512","","","8","1.92x","1","1","1","1","384","","","","<b>Float64</b>; Int64; UInt64","6","512","AVX512F_512","","","","Masked Loop Vectorization; Unaligned Access in Vector Loop","","charge.F90:731","charge.F90:731","xgc2"
"472","[loop in efield_elec_vec at efield_elec_vec.F90:26]","1","1 Possible inefficient memory access patterns present ","0.0400s","0s","0.0400s","Vectorized (Body; [Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","19.4191","3.11x","16; [16]","2.87x","16","16","15","16","28128","< 0.0001s","Gathers; Mask Manipulations; [Gathers; Mask Manipulations; Unpacks]","Gathers; Mask Manipulations;  [Gathers; Mask Manipulations; Unpacks]","Float32; U<b>Int32</b>; [Int64; UInt32; UInt64]","2; [6]","512; [512]","AVX512F_512; [AVX512F_512]","","","","Unaligned Access in Vector Loop; [Masked Loop Vectorization; Unaligned Access in Vector Loop]","","efield_elec_vec.F90:26","efield_elec_vec.F90:26","xgc2"
"203","[child]-[loop in efield_elec_vec at efield_elec_vec.F90:26]","1","1 Possible inefficient memory access patterns present ","0.0400s","0.0120s","0.0400s","Vectorized (Body)","","","","","7.2086","","","0.0864","192","","AVX512","AVX512","","","16","2.87x","16","16","15","16","28128","< 0.0001s","Gathers; Mask Manipulations","Gathers; Mask Manipulations","Float32; U<b>Int32</b>","2","512","AVX512F_512","","","","Unaligned Access in Vector Loop","","efield_elec_vec.F90:26","efield_elec_vec.F90:26","xgc2"
"","[child]-[loop in efield_elec_vec at efield_elec_vec.F90:26]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","","","","","","","","< 0.0001","96","","AVX512","AVX512","","","16","1.43x","1","1","1","1","96","","Gathers; Unpacks; Mask Manipulations","Gathers; Mask Manipulations; Unpacks","Int64; U<b>Int32</b>; UInt64","6","512","AVX512F_512","","","","Masked Loop Vectorization; Unaligned Access in Vector Loop","","efield_elec_vec.F90:26","efield_elec_vec.F90:26","xgc2"
"182","[loop in eval_bicub_2_vec at bicub_mod.F90:423]","1","","0.0360s","0.0120s","0.3281s","Scalar","1125120","0.0937774","0.0500","","1.8755","0.0011","1","0.0225","20","inner loop was already vectorized","","","","","","","2","2","2","2","562560","< 0.0001s","Mask Manipulations","Mask Manipulations","Float64; Int32; UInt32","11","256/512","AVX; AVX2; AVX512F_512","","","","","","bicub_mod.F90:423","bicub_mod.F90:423","xgc2"
"477","[loop in efield_gk_elec2_vec at efield_gk_elec2_vec.F90:81]","1","1 Possible inefficient memory access patterns present ","0.0359s","0s","0.0359s","Vectorized (Body; [Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","16.4323","2.63x","16; [16]","2.47x","16","16","15","16","421920","< 0.0001s","Mask Manipulations; [Mask Manipulations]","Mask Manipulations;  [Mask Manipulations]","Float64; UInt32; [Float64; Int32; UInt32]","4; [7]","512; [512]","AVX512F_512; [AVX512F_512]","","","","Unaligned Access in Vector Loop; [Masked Loop Vectorization; Unaligned Access in Vector Loop]","","efield_gk_elec2_vec.F90:81","efield_gk_elec2_vec.F90:81","xgc2"
"226","[child]-[loop in efield_gk_elec2_vec at efield_gk_elec2_vec.F90:81]","1","1 Possible inefficient memory access patterns present ","0.0359s","0.0239s","0.0359s","Vectorized (Body)","","","","","","","","","","","AVX512","AVX512","","","16","2.47x","16","16","15","16","421920","< 0.0001s","Mask Manipulations","Mask Manipulations","Float64; UInt32","4","512","AVX512F_512","","","","Unaligned Access in Vector Loop","","efield_gk_elec2_vec.F90:81","efield_gk_elec2_vec.F90:81","xgc2"
"","[child]-[loop in efield_gk_elec2_vec at efield_gk_elec2_vec.F90:81]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","16","2.12x","1","1","1","1","1440","","Mask Manipulations","Mask Manipulations","Float64; Int32; UInt32","7","512","AVX512F_512","","","","Masked Loop Vectorization; Unaligned Access in Vector Loop","","efield_gk_elec2_vec.F90:81","efield_gk_elec2_vec.F90:81","xgc2"
"425","[loop in eval_bicub_1_vec at bicub_mod.F90:687]","1","","0.0359s","0s","0.0359s","Vectorized (Body; [Peeled; Remainder])","","","","","","","","","","1 vectorization possible but seems inefficient. Use vector always directive or -vec-threshold0 to override ","AVX512; [AVX512]","AVX512; [AVX512]","86.5359","6.92x","8; [8]","6.93x","16","16","15","16","225024","< 0.0001s","","","<b>Float64</b>; [Float64; Int64; UInt64]","1; [0; 4]","512; [512]","AVX512F_512; [AVX512F_512]","Unrolled by 2","Unrolled","2","[Masked Loop Vectorization; Unaligned Access in Vector Loop]","LOOP WAS UNROLLED BY 2","bicub_mod.F90:687","bicub_mod.F90:687","xgc2"
"262","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:687]","1","","0.0359s","0.0240s","0.0359s","Vectorized (Body)","","","","","19.2250","","","0.4608","128","","AVX512","AVX512","","","8","6.93x","16","16","15","16","225024","< 0.0001s","","","<b>Float64</b>","1","512","AVX512F_512","Unrolled by 2","Unrolled","2","","LOOP WAS UNROLLED BY 2","bicub_mod.F90:687","bicub_mod.F90:687","xgc2"
"","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:687]","-1","","n/a","n/a","n/a","Peeled [Not Executed]","","","","","","","","","","vectorization possible but seems inefficient. Use vector always directive or -vec-threshold0 to override ","","","","","","","","","","","","","","","","0","","","","","","","","bicub_mod.F90:687","bicub_mod.F90:687","xgc2"
"","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:687]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","","","","","","","","< 0.0001","64","","AVX512","AVX512","","","8","2.08x","1","1","1","1","768","","","","<b>Float64</b>; Int64; UInt64","4","512","AVX512F_512","","","","Masked Loop Vectorization; Unaligned Access in Vector Loop","","bicub_mod.F90:687","bicub_mod.F90:687","xgc2"
"442","[loop in field_following_pos2_vec at charge.F90:753]","1","","0.0321s","0s","0.0321s","Vectorized (Body; [Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","122.573","9.81x","8; [8]","9.00x","16","16","15","16","112512","< 0.0001s","","","<b>Float64</b>; [Float64; Int64; UInt64]","3; [6]","512; [512]","AVX512F_512; [AVX512F_512]","Unrolled by 2","Unrolled","2","[Masked Loop Vectorization]","LOOP WAS UNROLLED BY 2","charge.F90:753","charge.F90:753","xgc2"
